"","STUDY_ID_PLOT","duration_plot","richness_change","Jbeta","Jtu","Jne","scaleacc_25","e","e_2","e_5","e_25","e_50","e_75","e_100","e_hpd","e_hpd2","e_hpd5","e_hpd25","e_hpd50","e_hpd75","e_hpd100","STUDY_ID","PLOT","START_YEAR","END_YEAR","duration","TAXA","LATITUDE","LONGITUDE","AREA_SQ_KM","NUMBER_OF_SAMPLES","ABUNDANCE_TYPE","AB_BIO","BIOMASS_TYPE","PROTECTED_AREA","cell","duration_plot_center","area_center","hpd_q","scalehpd_25"
"11",11,9,0,0.363636363636364,0.363636363636364,0,0.985201307591097,148,149.5,147.757575757576,123.54537366548,125.097841406424,129.225276898734,129.726701046227,1.16582119464874,1.37537708806551,1.93408524208217,17.7629748409875,9.49368801229781,7.35989781394313,6.45894373828233,"10","40",1984,1996,12,"Terrestrial plants",47.4,-95.12,5.91e-06,191,"Count","A",NA,FALSE,"359170",-10.10400829302,-1226235.19659698,"Moderate",0.00175849179277299
"12",12,9,0,0.307692307692308,0.307692307692308,0,0.985201307591097,148,149.5,147.757575757576,123.54537366548,125.097841406424,129.225276898734,129.726701046227,1.16582119464874,1.37537708806551,1.93408524208217,17.7629748409875,9.49368801229781,7.35989781394313,6.45894373828233,"10","45",1984,1996,12,"Terrestrial plants",47.4,-95.12,5.91e-06,191,"Count","A",NA,FALSE,"359170",-10.10400829302,-1226235.19659698,"Moderate",0.00175849179277299
"13",13,13,-1,0.538461538461538,0.5,0.0384615384615385,0.985201307591097,148,149.5,147.757575757576,123.54537366548,125.097841406424,129.225276898734,129.726701046227,1.16582119464874,1.37537708806551,1.93408524208217,17.7629748409875,9.49368801229781,7.35989781394313,6.45894373828233,"10","46",1984,1996,12,"Terrestrial plants",47.4,-95.12,5.91e-06,191,"Count","A",NA,FALSE,"359170",-6.10400829302004,-1226235.19659698,"Moderate",0.00175849179277299
"14",14,13,-2,0.428571428571429,0.333333333333333,0.0952380952380952,0.985201307591097,148,149.5,147.757575757576,123.54537366548,125.097841406424,129.225276898734,129.726701046227,1.16582119464874,1.37537708806551,1.93408524208217,17.7629748409875,9.49368801229781,7.35989781394313,6.45894373828233,"10","47",1984,1996,12,"Terrestrial plants",47.4,-95.12,5.91e-06,191,"Count","A",NA,FALSE,"359170",-6.10400829302004,-1226235.19659698,"Moderate",0.00175849179277299
"15",15,13,-3,0.428571428571429,0,0.428571428571429,0.985201307591097,148,149.5,147.757575757576,123.54537366548,125.097841406424,129.225276898734,129.726701046227,1.16582119464874,1.37537708806551,1.93408524208217,17.7629748409875,9.49368801229781,7.35989781394313,6.45894373828233,"10","5",1984,1996,12,"Terrestrial plants",47.4,-95.12,5.91e-06,191,"Count","A",NA,FALSE,"359170",-6.10400829302004,-1226235.19659698,"Moderate",0.00175849179277299
"16",16,9,1,0.272727272727273,0.2,0.0727272727272727,0.985201307591097,148,149.5,147.757575757576,123.54537366548,125.097841406424,129.225276898734,129.726701046227,1.16582119464874,1.37537708806551,1.93408524208217,17.7629748409875,9.49368801229781,7.35989781394313,6.45894373828233,"10","71",1984,1996,12,"Terrestrial plants",47.4,-95.12,5.91e-06,191,"Count","A",NA,FALSE,"359170",-10.10400829302,-1226235.19659698,"Moderate",0.00175849179277299
"17",17,9,-1,0.230769230769231,0.166666666666667,0.0641025641025641,0.985201307591097,148,149.5,147.757575757576,123.54537366548,125.097841406424,129.225276898734,129.726701046227,1.16582119464874,1.37537708806551,1.93408524208217,17.7629748409875,9.49368801229781,7.35989781394313,6.45894373828233,"10","73",1984,1996,12,"Terrestrial plants",47.4,-95.12,5.91e-06,191,"Count","A",NA,FALSE,"359170",-10.10400829302,-1226235.19659698,"Moderate",0.00175849179277299
"18",18,13,-3,0.3,0,0.3,0.985201307591097,148,149.5,147.757575757576,123.54537366548,125.097841406424,129.225276898734,129.726701046227,1.16582119464874,1.37537708806551,1.93408524208217,17.7629748409875,9.49368801229781,7.35989781394313,6.45894373828233,"10","74",1984,1996,12,"Terrestrial plants",47.4,-95.12,5.91e-06,191,"Count","A",NA,FALSE,"359170",-6.10400829302004,-1226235.19659698,"Moderate",0.00175849179277299
"19",19,9,1,0.5,0.461538461538462,0.0384615384615385,0.985201307591097,148,149.5,147.757575757576,123.54537366548,125.097841406424,129.225276898734,129.726701046227,1.16582119464874,1.37537708806551,1.93408524208217,17.7629748409875,9.49368801229781,7.35989781394313,6.45894373828233,"10","9",1984,1996,12,"Terrestrial plants",47.4,-95.12,5.91e-06,191,"Count","A",NA,FALSE,"359170",-10.10400829302,-1226235.19659698,"Moderate",0.00175849179277299
"20",20,25,5,0.5625,0.363636363636364,0.198863636363636,0.968015945495411,264,265.7,266.335877862595,267.010354565422,286.938014262205,288.015083954574,278.9441167826,0,0,0.0154204819482957,0.424493449773157,0.301958098775038,3.38946916448242,6.24451368785853,"18","1",1923,1973,50,"Terrestrial plants",44.33,-112.33,5.59e-06,542,"Count","A",NA,FALSE,"335699",5.89599170697996,-1226235.1965973,"High",4.20238307039522e-05
"21",21,44,3,0.708333333333333,0.666666666666667,0.0416666666666667,0.968015945495411,264,265.7,266.335877862595,267.010354565422,286.938014262205,288.015083954574,278.9441167826,0,0,0.0154204819482957,0.424493449773157,0.301958098775038,3.38946916448242,6.24451368785853,"18","10",1923,1973,50,"Terrestrial plants",44.33,-112.33,5.59e-06,542,"Count","A",NA,FALSE,"335699",24.89599170698,-1226235.1965973,"High",4.20238307039522e-05
"22",22,34,2,0.666666666666667,0.631578947368421,0.0350877192982456,0.968015945495411,264,265.7,266.335877862595,267.010354565422,286.938014262205,288.015083954574,278.9441167826,0,0,0.0154204819482957,0.424493449773157,0.301958098775038,3.38946916448242,6.24451368785853,"18","11",1923,1973,50,"Terrestrial plants",44.33,-112.33,5.59e-06,542,"Count","A",NA,FALSE,"335699",14.89599170698,-1226235.1965973,"High",4.20238307039522e-05
"23",23,25,1,0.619047619047619,0.6,0.019047619047619,0.968015945495411,264,265.7,266.335877862595,267.010354565422,286.938014262205,288.015083954574,278.9441167826,0,0,0.0154204819482957,0.424493449773157,0.301958098775038,3.38946916448242,6.24451368785853,"18","12",1923,1973,50,"Terrestrial plants",44.33,-112.33,5.59e-06,542,"Count","A",NA,FALSE,"335699",5.89599170697996,-1226235.1965973,"High",4.20238307039522e-05
"24",24,51,-3,0.6875,0.615384615384615,0.0721153846153846,0.968015945495411,264,265.7,266.335877862595,267.010354565422,286.938014262205,288.015083954574,278.9441167826,0,0,0.0154204819482957,0.424493449773157,0.301958098775038,3.38946916448242,6.24451368785853,"18","13",1923,1973,50,"Terrestrial plants",44.33,-112.33,5.59e-06,542,"Count","A",NA,FALSE,"335699",31.89599170698,-1226235.1965973,"High",4.20238307039522e-05
"25",25,44,5,0.583333333333333,0.285714285714286,0.297619047619048,0.968015945495411,264,265.7,266.335877862595,267.010354565422,286.938014262205,288.015083954574,278.9441167826,0,0,0.0154204819482957,0.424493449773157,0.301958098775038,3.38946916448242,6.24451368785853,"18","14",1923,1973,50,"Terrestrial plants",44.33,-112.33,5.59e-06,542,"Count","A",NA,FALSE,"335699",24.89599170698,-1226235.1965973,"High",4.20238307039522e-05
"26",26,44,-3,0.529411764705882,0.428571428571429,0.100840336134454,0.968015945495411,264,265.7,266.335877862595,267.010354565422,286.938014262205,288.015083954574,278.9441167826,0,0,0.0154204819482957,0.424493449773157,0.301958098775038,3.38946916448242,6.24451368785853,"18","15",1923,1973,50,"Terrestrial plants",44.33,-112.33,5.59e-06,542,"Count","A",NA,FALSE,"335699",24.89599170698,-1226235.1965973,"High",4.20238307039522e-05
"27",27,42,0,0.695652173913043,0.695652173913043,0,0.968015945495411,264,265.7,266.335877862595,267.010354565422,286.938014262205,288.015083954574,278.9441167826,0,0,0.0154204819482957,0.424493449773157,0.301958098775038,3.38946916448242,6.24451368785853,"18","16",1923,1973,50,"Terrestrial plants",44.33,-112.33,5.59e-06,542,"Count","A",NA,FALSE,"335699",22.89599170698,-1226235.1965973,"High",4.20238307039522e-05
"28",28,42,4,0.736842105263158,0.666666666666667,0.0701754385964912,0.968015945495411,264,265.7,266.335877862595,267.010354565422,286.938014262205,288.015083954574,278.9441167826,0,0,0.0154204819482957,0.424493449773157,0.301958098775038,3.38946916448242,6.24451368785853,"18","17",1923,1973,50,"Terrestrial plants",44.33,-112.33,5.59e-06,542,"Count","A",NA,FALSE,"335699",22.89599170698,-1226235.1965973,"High",4.20238307039522e-05
"29",29,25,3,0.590909090909091,0.526315789473684,0.0645933014354067,0.968015945495411,264,265.7,266.335877862595,267.010354565422,286.938014262205,288.015083954574,278.9441167826,0,0,0.0154204819482957,0.424493449773157,0.301958098775038,3.38946916448242,6.24451368785853,"18","18",1923,1973,50,"Terrestrial plants",44.33,-112.33,5.59e-06,542,"Count","A",NA,FALSE,"335699",5.89599170697996,-1226235.1965973,"High",4.20238307039522e-05
"30",30,25,1,0.647058823529412,0.625,0.0220588235294118,0.968015945495411,264,265.7,266.335877862595,267.010354565422,286.938014262205,288.015083954574,278.9441167826,0,0,0.0154204819482957,0.424493449773157,0.301958098775038,3.38946916448242,6.24451368785853,"18","19",1923,1973,50,"Terrestrial plants",44.33,-112.33,5.59e-06,542,"Count","A",NA,FALSE,"335699",5.89599170697996,-1226235.1965973,"High",4.20238307039522e-05
"31",31,28,0,0.533333333333333,0.533333333333333,0,0.968015945495411,264,265.7,266.335877862595,267.010354565422,286.938014262205,288.015083954574,278.9441167826,0,0,0.0154204819482957,0.424493449773157,0.301958098775038,3.38946916448242,6.24451368785853,"18","2",1923,1973,50,"Terrestrial plants",44.33,-112.33,5.59e-06,542,"Count","A",NA,FALSE,"335699",8.89599170697996,-1226235.1965973,"High",4.20238307039522e-05
"32",32,25,-3,0.523809523809524,0.444444444444444,0.0793650793650794,0.968015945495411,264,265.7,266.335877862595,267.010354565422,286.938014262205,288.015083954574,278.9441167826,0,0,0.0154204819482957,0.424493449773157,0.301958098775038,3.38946916448242,6.24451368785853,"18","20",1923,1973,50,"Terrestrial plants",44.33,-112.33,5.59e-06,542,"Count","A",NA,FALSE,"335699",5.89599170697996,-1226235.1965973,"High",4.20238307039522e-05
"33",33,25,-3,0.35,0.235294117647059,0.114705882352941,0.968015945495411,264,265.7,266.335877862595,267.010354565422,286.938014262205,288.015083954574,278.9441167826,0,0,0.0154204819482957,0.424493449773157,0.301958098775038,3.38946916448242,6.24451368785853,"18","21",1923,1973,50,"Terrestrial plants",44.33,-112.33,5.59e-06,542,"Count","A",NA,FALSE,"335699",5.89599170697996,-1226235.1965973,"High",4.20238307039522e-05
"34",34,25,0,0.666666666666667,0.666666666666667,0,0.968015945495411,264,265.7,266.335877862595,267.010354565422,286.938014262205,288.015083954574,278.9441167826,0,0,0.0154204819482957,0.424493449773157,0.301958098775038,3.38946916448242,6.24451368785853,"18","22",1923,1973,50,"Terrestrial plants",44.33,-112.33,5.59e-06,542,"Count","A",NA,FALSE,"335699",5.89599170697996,-1226235.1965973,"High",4.20238307039522e-05
"35",35,25,-4,0.526315789473684,0.4,0.126315789473684,0.968015945495411,264,265.7,266.335877862595,267.010354565422,286.938014262205,288.015083954574,278.9441167826,0,0,0.0154204819482957,0.424493449773157,0.301958098775038,3.38946916448242,6.24451368785853,"18","23",1923,1973,50,"Terrestrial plants",44.33,-112.33,5.59e-06,542,"Count","A",NA,FALSE,"335699",5.89599170697996,-1226235.1965973,"High",4.20238307039522e-05
"36",36,35,-3,0.647058823529412,0.571428571428571,0.0756302521008403,0.968015945495411,264,265.7,266.335877862595,267.010354565422,286.938014262205,288.015083954574,278.9441167826,0,0,0.0154204819482957,0.424493449773157,0.301958098775038,3.38946916448242,6.24451368785853,"18","24",1923,1973,50,"Terrestrial plants",44.33,-112.33,5.59e-06,542,"Count","A",NA,FALSE,"335699",15.89599170698,-1226235.1965973,"High",4.20238307039522e-05
"37",37,35,4,0.6,0.5,0.1,0.968015945495411,264,265.7,266.335877862595,267.010354565422,286.938014262205,288.015083954574,278.9441167826,0,0,0.0154204819482957,0.424493449773157,0.301958098775038,3.38946916448242,6.24451368785853,"18","25",1923,1973,50,"Terrestrial plants",44.33,-112.33,5.59e-06,542,"Count","A",NA,FALSE,"335699",15.89599170698,-1226235.1965973,"High",4.20238307039522e-05
"38",38,28,3,0.4375,0.307692307692308,0.129807692307692,0.968015945495411,264,265.7,266.335877862595,267.010354565422,286.938014262205,288.015083954574,278.9441167826,0,0,0.0154204819482957,0.424493449773157,0.301958098775038,3.38946916448242,6.24451368785853,"18","26",1923,1973,50,"Terrestrial plants",44.33,-112.33,5.59e-06,542,"Count","A",NA,FALSE,"335699",8.89599170697996,-1226235.1965973,"High",4.20238307039522e-05
"39",39,44,-6,0.736842105263158,0.615384615384615,0.121457489878543,0.968015945495411,264,265.7,266.335877862595,267.010354565422,286.938014262205,288.015083954574,278.9441167826,0,0,0.0154204819482957,0.424493449773157,0.301958098775038,3.38946916448242,6.24451368785853,"18","3",1923,1973,50,"Terrestrial plants",44.33,-112.33,5.59e-06,542,"Count","A",NA,FALSE,"335699",24.89599170698,-1226235.1965973,"High",4.20238307039522e-05
"40",40,28,0,0.4,0.4,0,0.968015945495411,264,265.7,266.335877862595,267.010354565422,286.938014262205,288.015083954574,278.9441167826,0,0,0.0154204819482957,0.424493449773157,0.301958098775038,3.38946916448242,6.24451368785853,"18","4",1923,1973,50,"Terrestrial plants",44.33,-112.33,5.59e-06,542,"Count","A",NA,FALSE,"335699",8.89599170697996,-1226235.1965973,"High",4.20238307039522e-05
"41",41,44,2,0.545454545454545,0.444444444444444,0.101010101010101,0.968015945495411,264,265.7,266.335877862595,267.010354565422,286.938014262205,288.015083954574,278.9441167826,0,0,0.0154204819482957,0.424493449773157,0.301958098775038,3.38946916448242,6.24451368785853,"18","5",1923,1973,50,"Terrestrial plants",44.33,-112.33,5.59e-06,542,"Count","A",NA,FALSE,"335699",24.89599170698,-1226235.1965973,"High",4.20238307039522e-05
"42",42,44,2,0.555555555555556,0.5,0.0555555555555556,0.968015945495411,264,265.7,266.335877862595,267.010354565422,286.938014262205,288.015083954574,278.9441167826,0,0,0.0154204819482957,0.424493449773157,0.301958098775038,3.38946916448242,6.24451368785853,"18","6",1923,1973,50,"Terrestrial plants",44.33,-112.33,5.59e-06,542,"Count","A",NA,FALSE,"335699",24.89599170698,-1226235.1965973,"High",4.20238307039522e-05
"43",43,28,3,0.684210526315789,0.625,0.0592105263157895,0.968015945495411,264,265.7,266.335877862595,267.010354565422,286.938014262205,288.015083954574,278.9441167826,0,0,0.0154204819482957,0.424493449773157,0.301958098775038,3.38946916448242,6.24451368785853,"18","7",1923,1973,50,"Terrestrial plants",44.33,-112.33,5.59e-06,542,"Count","A",NA,FALSE,"335699",8.89599170697996,-1226235.1965973,"High",4.20238307039522e-05
"44",44,44,-3,0.5,0.363636363636364,0.136363636363636,0.968015945495411,264,265.7,266.335877862595,267.010354565422,286.938014262205,288.015083954574,278.9441167826,0,0,0.0154204819482957,0.424493449773157,0.301958098775038,3.38946916448242,6.24451368785853,"18","8",1923,1973,50,"Terrestrial plants",44.33,-112.33,5.59e-06,542,"Count","A",NA,FALSE,"335699",24.89599170698,-1226235.1965973,"High",4.20238307039522e-05
"45",45,44,5,0.647058823529412,0.5,0.147058823529412,0.968015945495411,264,265.7,266.335877862595,267.010354565422,286.938014262205,288.015083954574,278.9441167826,0,0,0.0154204819482957,0.424493449773157,0.301958098775038,3.38946916448242,6.24451368785853,"18","9",1923,1973,50,"Terrestrial plants",44.33,-112.33,5.59e-06,542,"Count","A",NA,FALSE,"335699",24.89599170698,-1226235.1965973,"High",4.20238307039522e-05
"46",46,2,8,0.7,0.673913043478261,0.0260869565217391,0.990924005035839,71,73.1428571428571,71.7301587301587,75.7717698836844,85.7431732580038,81.9860147176787,80.4700215813223,0,0.026409173140391,0.0618242463124694,0.641802300478083,2.71151543903326,17.4006675744916,27.7561116996083,"194","10B",1994,2004,10,"Terrestrial invertebrates",44.244,-122.158,64,254,"Count","A",NA,FALSE,"298432",-17.10400829302,-1226171.19660289,"High",6.35368843380224e-05
"47",47,2,-47,1,1,0,0.990924005035839,71,73.1428571428571,71.7301587301587,75.7717698836844,85.7431732580038,81.9860147176787,80.4700215813223,0,0.026409173140391,0.0618242463124694,0.641802300478083,2.71151543903326,17.4006675744916,27.7561116996083,"194","11B",1994,2004,10,"Terrestrial invertebrates",44.244,-122.158,64,254,"Count","A",NA,FALSE,"298432",-17.10400829302,-1226171.19660289,"High",6.35368843380224e-05
"48",48,2,-63,0.910112359550562,0.692307692307692,0.217804667242869,0.990924005035839,71,73.1428571428571,71.7301587301587,75.7717698836844,85.7431732580038,81.9860147176787,80.4700215813223,0,0.026409173140391,0.0618242463124694,0.641802300478083,2.71151543903326,17.4006675744916,27.7561116996083,"194","11C",1994,2004,10,"Terrestrial invertebrates",44.244,-122.158,64,254,"Count","A",NA,FALSE,"298432",-17.10400829302,-1226171.19660289,"High",6.35368843380224e-05
"49",49,3,4,0.901960784313726,0.893617021276596,0.00834376303712975,0.990924005035839,71,73.1428571428571,71.7301587301587,75.7717698836844,85.7431732580038,81.9860147176787,80.4700215813223,0,0.026409173140391,0.0618242463124694,0.641802300478083,2.71151543903326,17.4006675744916,27.7561116996083,"194","11D",1994,2004,10,"Terrestrial invertebrates",44.244,-122.158,64,254,"Count","A",NA,FALSE,"298432",-16.10400829302,-1226171.19660289,"High",6.35368843380224e-05
"50",50,2,-36,0.659090909090909,0.423076923076923,0.236013986013986,0.990924005035839,71,73.1428571428571,71.7301587301587,75.7717698836844,85.7431732580038,81.9860147176787,80.4700215813223,0,0.026409173140391,0.0618242463124694,0.641802300478083,2.71151543903326,17.4006675744916,27.7561116996083,"194","11M",1994,2004,10,"Terrestrial invertebrates",44.244,-122.158,64,254,"Count","A",NA,FALSE,"298432",-17.10400829302,-1226171.19660289,"High",6.35368843380224e-05
"51",51,2,-15,1,1,0,0.990924005035839,71,73.1428571428571,71.7301587301587,75.7717698836844,85.7431732580038,81.9860147176787,80.4700215813223,0,0.026409173140391,0.0618242463124694,0.641802300478083,2.71151543903326,17.4006675744916,27.7561116996083,"194","12A",1994,2004,10,"Terrestrial invertebrates",44.244,-122.158,64,254,"Count","A",NA,FALSE,"298432",-17.10400829302,-1226171.19660289,"High",6.35368843380224e-05
"52",52,11,59,0.832167832167832,0.714285714285714,0.117882117882118,0.990924005035839,71,73.1428571428571,71.7301587301587,75.7717698836844,85.7431732580038,81.9860147176787,80.4700215813223,0,0.026409173140391,0.0618242463124694,0.641802300478083,2.71151543903326,17.4006675744916,27.7561116996083,"194","13A",1994,2004,10,"Terrestrial invertebrates",44.244,-122.158,64,254,"Count","A",NA,FALSE,"298432",-8.10400829302004,-1226171.19660289,"High",6.35368843380224e-05
"53",53,2,39,0.907407407407407,0.666666666666667,0.240740740740741,0.990924005035839,71,73.1428571428571,71.7301587301587,75.7717698836844,85.7431732580038,81.9860147176787,80.4700215813223,0,0.026409173140391,0.0618242463124694,0.641802300478083,2.71151543903326,17.4006675744916,27.7561116996083,"194","13C",1994,2004,10,"Terrestrial invertebrates",44.244,-122.158,64,254,"Count","A",NA,FALSE,"298432",-17.10400829302,-1226171.19660289,"High",6.35368843380224e-05
"54",54,2,6,0.805555555555556,0.787878787878788,0.0176767676767677,0.990924005035839,71,73.1428571428571,71.7301587301587,75.7717698836844,85.7431732580038,81.9860147176787,80.4700215813223,0,0.026409173140391,0.0618242463124694,0.641802300478083,2.71151543903326,17.4006675744916,27.7561116996083,"194","13D",1994,2004,10,"Terrestrial invertebrates",44.244,-122.158,64,254,"Count","A",NA,FALSE,"298432",-17.10400829302,-1226171.19660289,"High",6.35368843380224e-05
"55",55,10,119,0.991803278688525,0.666666666666667,0.325136612021858,0.990924005035839,71,73.1428571428571,71.7301587301587,75.7717698836844,85.7431732580038,81.9860147176787,80.4700215813223,0,0.026409173140391,0.0618242463124694,0.641802300478083,2.71151543903326,17.4006675744916,27.7561116996083,"194","13F",1994,2004,10,"Terrestrial invertebrates",44.244,-122.158,64,254,"Count","A",NA,FALSE,"298432",-9.10400829302004,-1226171.19660289,"High",6.35368843380224e-05
"56",56,2,49,0.798245614035088,0.646153846153846,0.152091767881242,0.990924005035839,71,73.1428571428571,71.7301587301587,75.7717698836844,85.7431732580038,81.9860147176787,80.4700215813223,0,0.026409173140391,0.0618242463124694,0.641802300478083,2.71151543903326,17.4006675744916,27.7561116996083,"194","15B",1994,2004,10,"Terrestrial invertebrates",44.244,-122.158,64,254,"Count","A",NA,FALSE,"298432",-17.10400829302,-1226171.19660289,"High",6.35368843380224e-05
"57",57,3,8,1,1,0,0.990924005035839,71,73.1428571428571,71.7301587301587,75.7717698836844,85.7431732580038,81.9860147176787,80.4700215813223,0,0.026409173140391,0.0618242463124694,0.641802300478083,2.71151543903326,17.4006675744916,27.7561116996083,"194","15C",1994,2004,10,"Terrestrial invertebrates",44.244,-122.158,64,254,"Count","A",NA,FALSE,"298432",-16.10400829302,-1226171.19660289,"High",6.35368843380224e-05
"58",58,3,51,0.778846153846154,0.566037735849057,0.212808417997097,0.990924005035839,71,73.1428571428571,71.7301587301587,75.7717698836844,85.7431732580038,81.9860147176787,80.4700215813223,0,0.026409173140391,0.0618242463124694,0.641802300478083,2.71151543903326,17.4006675744916,27.7561116996083,"194","15D",1994,2004,10,"Terrestrial invertebrates",44.244,-122.158,64,254,"Count","A",NA,FALSE,"298432",-16.10400829302,-1226171.19660289,"High",6.35368843380224e-05
"59",59,11,131,0.952054794520548,0.533333333333333,0.418721461187215,0.990924005035839,71,73.1428571428571,71.7301587301587,75.7717698836844,85.7431732580038,81.9860147176787,80.4700215813223,0,0.026409173140391,0.0618242463124694,0.641802300478083,2.71151543903326,17.4006675744916,27.7561116996083,"194","15E",1994,2004,10,"Terrestrial invertebrates",44.244,-122.158,64,254,"Count","A",NA,FALSE,"298432",-8.10400829302004,-1226171.19660289,"High",6.35368843380224e-05
"60",60,10,95,0.859872611464968,0.645161290322581,0.214711321142388,0.990924005035839,71,73.1428571428571,71.7301587301587,75.7717698836844,85.7431732580038,81.9860147176787,80.4700215813223,0,0.026409173140391,0.0618242463124694,0.641802300478083,2.71151543903326,17.4006675744916,27.7561116996083,"194","15F",1994,2004,10,"Terrestrial invertebrates",44.244,-122.158,64,254,"Count","A",NA,FALSE,"298432",-9.10400829302004,-1226171.19660289,"High",6.35368843380224e-05
